Open,High,Low,Close,Adj Close,Output
-1.104550546,-1.103639854,-1.103311839,-1.100806056,-1.460681595,0
-1.098880837,-1.094481018,-1.097054617,-1.090832857,-1.404481685,1
-1.089937536,-1.095261261,-1.094458908,-1.098988201,-1.446811772,0
-1.097685041,-1.102451407,-1.09677864,-1.099555067,-1.431253596,0
-1.098284603,-1.100281155,-1.095300347,-1.100175385,-1.41510777,0
-1.099073495,-1.089636574,-1.09604871,-1.087127609,-1.390086924,1
-1.085315637,-1.089830369,-1.084723205,-1.090923836,-1.411483347,0
-1.089127148,-1.088826031,-1.086561342,-1.089727659,-1.40608648,1
-1.088100188,-1.091365319,-1.08460915,-1.090595298,-1.417990313,0
-1.089056288,-1.09243148,-1.106333415,-1.110268259,-1.319947268,0
-1.108943345,-1.112879346,-1.106924452,-1.111303633,-1.395838692,0
-1.109715377,-1.113733001,-1.10824564,-1.112741381,-1.437446705,0
-1.111268479,-1.115165023,-1.11474413,-1.119043527,-1.442896997,0
-1.117170242,-1.112834418,-1.114275913,-1.110716185,-1.390367174,1
-1.109212448,-1.113332652,-1.110897482,-1.114967969,-1.396545549,0
-1.113308204,-1.114470917,-1.110041484,-1.113802531,-1.40466388,1
-1.112373655,-1.11694812,-1.110613589,-1.11404086,-1.40309339,0
-1.112461751,-1.116765234,-1.109710574,-1.113508117,-1.425873354,1
-1.112206662,-1.11093689,-1.10886275,-1.109478111,-1.373800439,1
-1.108046686,-1.111777769,-1.113031248,-1.116433123,-1.393733167,0
-1.114854935,-1.119039356,-1.114673604,-1.118388673,-1.426092085,0
-1.116819397,-1.120008454,-1.115952184,-1.117791732,-1.410659577,1
-1.116124436,-1.120891468,-1.117023413,-1.120844957,-1.406970772,0
-1.119261605,-1.121709936,-1.116928678,-1.120575997,-1.417025646,1
-1.118593402,-1.122513113,-1.117122098,-1.121759993,-1.418441003,0
-1.120143801,-1.121579028,-1.117410494,-1.121742313,-1.427563519,1
-1.119999701,-1.123998004,-1.118975625,-1.122830243,-1.402463364,0
-1.121199094,-1.125347397,-1.12585505,-1.128426287,-1.329798793,0
-1.126894613,-1.130554471,-1.127647129,-1.128448051,-1.381905463,0
-1.127095935,-1.128317213,-1.125134974,-1.126923785,-1.37978829,1
-1.125343856,-1.128453164,-1.124430287,-1.128378532,-1.38622162,0
-1.126612659,-1.128269161,-1.125340185,-1.126343753,-1.407625527,1
-1.124907116,-1.127103545,-1.122941347,-1.124486866,-1.426521682,1
-1.123141434,-1.127207311,-1.123915109,-1.127563467,-1.427840124,0
-1.125753176,-1.129672784,-1.124079522,-1.127178003,-1.411323951,1
-1.125741756,-1.128540907,-1.123116462,-1.125624933,-1.415343574,1
-1.123850946,-1.128154242,-1.124763431,-1.128257442,-1.400978036,0
-1.126552395,-1.129622691,-1.125242276,-1.129302435,-1.427279388,0
